player,age,nationality,position,team,top5,minutes_90s,Fantasista = Low,Fantasista = Average,Fantasista = High,Sacrificio = Low,Sacrificio = Average,Sacrificio = High,Prendi_Falli = Low,Prendi_Falli = Average,Prendi_Falli = High,Bomber = Low,Bomber = Average,Bomber = High,Torre = Low,Torre = Average,Torre = High
Shamar Nicholson,26,jm JAM,FW,Clermont Foot,True,16.5,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
Arnaud Nordin,25,fr FRA,"FW,MF",Montpellier,True,13.8,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Ernest Nuamah,19,gh GHA,"FW,MF",Lyon,True,20.4,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
Mathias Pereira Lage,26,pt POR,"FW,MF",Brest,True,13.2,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Gonçalo Ramos,22,pt POR,FW,Paris S-G,True,15.8,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Emmanuel Sabbi,25,us USA,"FW,MF",Le Havre,True,17.6,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
Wesley Saïd,28,fr FRA,"FW,MF",Lens,True,11.3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Ismaila Sarr,25,sn SEN,"FW,MF",Marseille,True,16.1,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Martin Satriano,22,uy URU,FW,Brest,True,20.7,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
Moses Simon,28,ng NGA,"FW,MF",Nantes,True,19.9,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Musa Al-Taamari,26,jo JOR,FW,Montpellier,True,21.4,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
Martin Terrier,26,fr FRA,"FW,MF",Rennes,True,17.0,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Cheikh Tidiane Sabaly,24,sn SEN,"FW,MF",Metz,True,15.3,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Kévin Van Den Kerkhof,27,dz ALG,"FW,MF",Metz,True,21.3,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False
Edon Zhegrova,24,xk KVX,FW,Lille,True,25.4,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
Elijah Adebayo,25,eng ENG,FW,Luton Town,True,15.8,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Simon Adingra,21,ci CIV,FW,Brighton,True,24.7,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Miguel Almirón,29,py PAR,FW,Newcastle Utd,True,21.5,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False
Zeki Amdouni,22,ch SUI,FW,Burnley,True,21.7,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Michail Antonio,33,jm JAM,FW,West Ham,True,18.8,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
Antony,23,br BRA,FW,Manchester Utd,True,14.7,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
Taiwo Awoniyi,25,ng NGA,FW,Nott'ham Forest,True,11.6,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
Jordan Ayew,31,gh GHA,"FW,MF",Crystal Palace,True,28.3,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
Jarrod Bowen,26,eng ENG,FW,West Ham,True,33.5,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
