"player","age","nationality","position","team","top5","minutes_90s","Creativo","Fulcro_di_Gioco","Lunga_Gittata","Incontrista","Cinico"
"Kirian Rodríguez",27,"es ESP","MF","Las Palmas","True",35.7,-0.525272298725935,0.539369918618856,-0.566848933761672,-0.263933488169812,-0.473123547516781
"Oriol Romeu",31,"es ESP","MF","Barcelona","True",10.4,-0.789570012353484,-0.0997269782555417,-0.753947091749381,1.07239260759627,-1.08628102181969
"Sergio Ruiz",28,"es ESP","MF","Granada","True",27.7,-1.12665906748467,-0.596311460648219,-0.588500137055347,1.22030890339649,-0.987565024079046
"Oihan Sancet",23,"es ESP","MF","Athletic Club","True",21.9,1.68600905905574,0.732747092877674,-0.522532263612736,-1.44102895646272,1.04483390999434
"Antonio Sánchez",26,"es ESP","MF","Mallorca","True",16.1,0.44398405256778,-0.539141173792223,-0.391759192313271,0.0895601685740063,0.627794803393683
"Rubén Sobrino",31,"es ESP","MF,FW","Cádiz","True",18.3,0.384014958047661,-0.7578730267809,-0.748959325625373,1.11414568108878,-0.461949401597665
"Boubakary Soumaré",24,"fr FRA","MF","Sevilla","True",25.4,-1.17852377765792,-1.02644449891882,-0.754298277885347,-0.520940114470531,-1.22725139467913
"Djibril Sow",26,"ch SUI","MF","Sevilla","True",16.2,-0.224221440903311,-0.319122856028656,-0.563335506236555,-0.292424960919399,0.0348143879189718
"Suso",29,"es ESP","MF,FW","Sevilla","True",16.9,1.25184179631738,1.63470300880319,1.62933797382675,-0.649475922048806,-0.322945078877835
"Renato Tapia",28,"pe PER","MF,DF","Celta Vigo","True",14.9,-1.10204333853209,-0.888569792974457,-0.206755144194479,0.979926500313622,-1.05671969321899
"Aurélien Tchouaméni",23,"fr FRA","MF,DF","Real Madrid","True",22.1,-1.29321221566083,-0.487475794563261,-0.841249218673807,-0.590859238229641,-0.311803003120786
"Óliver Torres",28,"es ESP","MF","Sevilla","True",18,0.595652155719458,0.211473534244118,0.166477770388324,0.821003024926115,-0.576513173941557
"Lucas Torró",29,"es ESP","MF","Osasuna","True",19.9,-1.00923647694777,-1.03722775164788,-0.943785173930055,-0.617638800647772,-0.660490133863352
